"Artsnavn","species","AMBI","AMBI_group"
"Hydracarina indet.","Hydrachnidia",FALSE,
"Hydrobia sp.","Hydrobia sp.",TRUE,3
"Hydrobiidae indet.","Hydrobiidae",TRUE,3
"Hydrobius sp.","Hydrobius",FALSE,
"Hydroides norvegica","Hydroides norvegica",TRUE,3
"Hydrozoa indet.","Hydrozoa",TRUE,1
"Idotea balthica","Idotea balthica",TRUE,2
"Idotea chelipes","Idotea chelipes",TRUE,2
"Idotea viridis","Idotea chelipes",TRUE,2
"Iphinoe trispinosa","Iphinoe trispinosa",TRUE,1
"Isaeidae indet.","Isaeidae",FALSE,
"Jaera albifrons","Jaera albifrons",TRUE,1
"Jassa pusilla","Jassa pusilla",TRUE,5
"Jassa sp.","Jassa sp.",TRUE,5
"Kurtiella bidentata","Kurtiella bidentata",TRUE,3
"Lagis koreni","Lagis koreni",TRUE,4
"Lamprops fasciatus","Lamprops fasciatus",TRUE,1
"Lanice conchilega","Lanice conchilega",TRUE,2
"Lapidoplax buski","Labidoplax buskii",TRUE,1
"Lembos longipes","Lembos longipes",TRUE,1
"Lepidepecreum longicorne","Lepidepecreum longicorne",FALSE,
"Lepidochitona cinereus","Lepidochitona cinerea",TRUE,2
"Lepidonotus squamatus","Lepidonotus squamatus",TRUE,2
"Lepidoptera indet.","Lepidoptera",FALSE,
"Leptocheirus hirsutimanus","Leptocheirus hirsutimanus",TRUE,3
"Leptochiton asellus","Leptochiton asellus",TRUE,1
"Leptognathia breviremis","Leptognathia breviremis",TRUE,1
"Leucon acutirostris","Leucon acutirostris",TRUE,2
"Leucon nasica","Leucon nasica",TRUE,2
"Leucon sp.","Leucon sp.",TRUE,2
"Leucothoe incisa","Leucothoe incisa",TRUE,1
"Leucothoe lilljeborgi","Leucothoe lilljeborgi",TRUE,1
"Levinsenia gracilis","Levinsenia gracilis",TRUE,3
"Lipobranchus jeffreysii","Lipobranchius jeffreysii",TRUE,3
"Littorina littorea","Littorina littorea",TRUE,2
"Littorina saxatilis","Littorina saxatilis",TRUE,2
"Lucinoma borealis","Lucinoma borealis",TRUE,1
"Lumbriclymene sp.","Lumbriclymene sp.",TRUE,3
"Lumbrineris fragilis","Lumbrineris fragilis",TRUE,2
"Lutraria lutraria","Lutraria lutraria",TRUE,1
"Lysianassidae indet.","Lysianassidae",TRUE,1
"Lysilla loveni","Lysilla loveni",TRUE,2
"Macoma balthica","Macoma balthica",TRUE,3
"Macoma calcarea","Macoma calcarea",TRUE,2
"Macropodia rostata","Macropodia rostrata",TRUE,1
"Mactra stultorum","Mactra stultorum",TRUE,1
"Maera loveni","Maera loveni",TRUE,1
"Magelona alleni","Magelona alleni",TRUE,1
"Magelona minuta","Magelona minuta",TRUE,1
"Magelona mirabilis","Magelona mirabilis",TRUE,1
"Magelona sp.","Magelona sp.",TRUE,1
"Malacobdella grossa","Malacobdella grossa",TRUE,3
"Malacoceros fuliginosus","Malacoceros fuliginosus",TRUE,5
"Maldane sarsi","Maldane sarsi",TRUE,2
"Maldanidae indet.","Maldanidae",TRUE,1
"Mangelia attenuata","Mangelia attenuata",TRUE,2
"Mangelia sp.","Mangelia sp.",TRUE,2
"Marenzelleria neglecta","Marenzelleria neglecta",TRUE,2
"Marenzelleria sp.","Marenzelleria sp.",TRUE,2
"Marenzelleria viridis","Marenzelleria viridis",TRUE,2
"Marshallora adversa","Marshallora adversa",TRUE,1
"Mediomastus fragilis","Mediomastus fragilis",TRUE,3
"Mediomastus sp.","Mediomastus sp.",TRUE,3
"Megaluropus agilis","Megaluropus agilis",TRUE,1
"Melinna cristata","Melinna cristata",TRUE,2
"Melita palmata","Melita palmata",TRUE,1
"Metopa sp.","Metopa sp.",TRUE,2
"Microdeutopus anomalus","Microdeutopus anomalus",TRUE,1
"Microdeutopus damnoniensis","Microdeutopus damnoniensis",TRUE,1
"Microdeutopus gryllotalpa","Microdeutopus gryllotalpa",TRUE,3
"Microdeutopus sp.","Microdeutopus sp.",TRUE,1
"Microphthalmus sp.","Microphthalmus sp.",TRUE,2
"Microprotopus maculatus","Microprotopus maculatus",TRUE,1
"Modiolus modiolus","Modiolus modiolus",TRUE,2
"Moerella pygmaea","Moerella pygmaea",TRUE,1
"Molgula manhattensis","Molgula manhattensis",TRUE,1
"Monoculodes carinatus","Monoculodes carinatus",TRUE,1
"Montacuta substriata","Montacuta substriata",TRUE,2
"Musculus discors","Musculus discors",TRUE,1
"Musculus subpictus","Musculus subpictus",TRUE,1
"Mya arenaria","Mya arenaria",TRUE,2
"Mya truncata","Mya truncata",TRUE,2
"Mysia undata","Mysia undata",TRUE,1
